nama_fasilitas ,penanggung_jawab,bulan,jumlah
Lapangan Sepakbola Blok S Kebayoran Baru,Suku Dinas Jakarta Selatan,02,3680
Lapangan Sepakbola Ahmad Yani Kebayoran Lama,Suku Dinas Jakarta Selatan,02,4835
Lapangan Sepakbola Kebagusan Pasar Minggu,Suku Dinas Jakarta Selatan,02,1188
Lapangan Sepakbola Deppen Pesanggrahan,Suku Dinas Jakarta Selatan,02,2915
Lapangan Sepakbola Sukatani Jagakarsa,Suku Dinas Jakarta Selatan,02,1376
Lapangan Sepakbola Jagakarsa,Suku Dinas Jakarta Selatan,02,1360
Gedung Serbaguna Semper Barat,Suku Dinas Jakarta Utara,02,2141
Lapangan Terbuka Muara Angke,Suku Dinas Jakarta Utara,02,1856
Lapangan Terbuka Rorotan,Suku Dinas Jakarta Utara,02,2899
Lapangan Terbuka Kalibaru,Suku Dinas Jakarta Utara,02,1259
Area Jogging Track Gelora Sunter,Suku Dinas Jakarta Utara,02,10500
Area Fitness Outdoor Gelora Sunter,Suku Dinas Jakarta Utara,02,1240
Area Parkir Depan Kolam Renang Sunter (Kegiatan SKJ),Suku Dinas Jakarta Utara,02,5650
Area Fasilitas Olahraga Rawa Badak,Suku Dinas Jakarta Utara,02,705
Kolam Renang Sunter,Suku Dinas Jakarta Utara,02,7306
GOR Bulutangkis,Suku Dinas Jakarta Utara,02,3399
Gedung Serbaguna,Suku Dinas Jakarta Utara,02,5298
Stadion Sepakbola Sunter,Suku Dinas Jakarta Utara,02,860
Stadion Sepakbola Tugu,Suku Dinas Jakarta Utara,02,1147
Kolam Renang Rawa Badak,Suku Dinas Jakarta Utara,02,3988
Stadion Rawa Badak,Suku Dinas Jakarta Utara,02,916
Lapangan Tenis Rawa Badak,Suku Dinas Jakarta Utara,02,416
Gedung Judo Kelapa Gading,Suku Dinas Jakarta Utara,02,883
Fasilitas Olahraga Dayung Bahtera Jaya,Suku Dinas Jakarta Utara,02,1302
Fasilitas Olahraga Selancar Angin Bahtera Jaya,Suku Dinas Jakarta Utara,02,240
Fasilitas Olahraga Layar Bahtera Jaya,Suku Dinas Jakarta Utara,02,96
Stadion Kamal Muara,Suku Dinas Jakarta Utara,02,720
GOR Kamal Muara,Suku Dinas Jakarta Utara,02,850
GOR Bahtera Jaya,Suku Dinas Jakarta Utara,02,800
Fasilitas Umum Milik Masyarakat,Suku Dinas Jakarta Utara,02,65137
Lapangan Sepakbola Setu,Suku Dinas Jakarta Timur,02,1137
Lapangan Sepakbola Klender,Suku Dinas Jakarta Timur,02,5850
Lapangan Sepakbola Cakung,Suku Dinas Jakarta Timur,02,6634
Lapangan Sepakbola Kramat Jati,Suku Dinas Jakarta Timur,02,0
Lapangan Sepakbola Gedong,Suku Dinas Jakarta Timur,02,2734
Lapangan Sepakbola Cijantung,Suku Dinas Jakarta Timur,02,1035
Lapangan Sepakbola Kelapa Dua Wetan,Suku Dinas Jakarta Timur,02,4199
Lapangan Sepakbola Cibubur,Suku Dinas Jakarta Timur,02,2264
Lapangan Sepakbola Lubang Buaya,Suku Dinas Jakarta Timur,02,4456
Lapangan Sepakbola Ceger,Suku Dinas Jakarta Timur,02,3125
GOR Perumnas Klender,Suku Dinas Jakarta Timur,02,3116
Tenis Indoor GOR Rawamangun,Suku Dinas Jakarta Timur,02,0
Tenis Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,02,0
Basket Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,02,0
Kolam Renang GOR Rawamangun,Suku Dinas Jakarta Timur,02,0
Stadion Atletik GOR Rawamangun,Suku Dinas Jakarta Timur,02,7845
Gedung Bulu Tangkis GOR Rawamangun,Suku Dinas Jakarta Timur,02,290
Gedung Squash GOR Rawamangun,Suku Dinas Jakarta Timur,02,390
Gedung Futsal GOR Rawamangun,Suku Dinas Jakarta Timur,02,2785
Lapangan Baseball GOR Rawamangun,Suku Dinas Jakarta Timur,02,320
Gedung KNPI GOR Rawamangun,Suku Dinas Jakarta Timur,02,900
Stadion Bola Pulo Mas,Suku Dinas Jakarta Timur,02,0
Lapangan Panahan Pulo Mas,Suku Dinas Jakarta Timur,02,244
Gedung Voli Pondok Bambu,Suku Dinas Jakarta Timur,02,3920
Stadion Bola Pondok Bambu,Suku Dinas Jakarta Timur,02,3220
Tenis Outdoor Pondok Bambu,Suku Dinas Jakarta Timur,02,205
Gedung Senam Radin Inten,Suku Dinas Jakarta Timur,02,290
Wisma Atlet Radin Inten,Suku Dinas Jakarta Timur,02,66
Gedung Serba Guna Radin Inten,Suku Dinas Jakarta Timur,02,150
Stadion BMX,Suku Dinas Jakarta Timur,02,0
GOR Ciracas,Suku Dinas Jakarta Timur,02,0
Stadion Sepakbola GOR Ciracas,Suku Dinas Jakarta Timur,02,1450
Kolam Renang GOR Ciracas,Suku Dinas Jakarta Timur,02,1650
Lapangan Terbuka GOR Ciracas,Suku Dinas Jakarta Timur,02,950
Stadion Sepakbola Gongseng,Suku Dinas Jakarta Timur,02,245
 PPOP ,Pusat Pelatihan Olahraga Pelajar,02,80577
Sudin Jakarta Pusat,Hari Bebas Kendaraan Bermotor,02,0
Sudin Jakarta Utara,Hari Bebas Kendaraan Bermotor,02,0
Sudin Jakarta Barat,Hari Bebas Kendaraan Bermotor,02,0
Sudin Jakarta Selatan,Hari Bebas Kendaraan Bermotor,02,0
Sudin Jakarta Timur,Hari Bebas Kendaraan Bermotor,02,0
Sudin Jakarta Pusat,RPTRA ,02,0
Sudin Jakarta Utara,RPTRA ,02,0
Sudin Jakarta Barat,RPTRA ,02,0
Sudin Jakarta Selatan,RPTRA ,02,0
Sudin Jakarta Timur,RPTRA ,02,0
Sudin Jakarta Pusat,RUSUN ,02,0
Sudin Jakarta Utara,RUSUN ,02,0
Sudin Jakarta Barat,RUSUN ,02,0
Sudin Jakarta Selatan,RUSUN ,02,0
Sudin Jakarta Timur,RUSUN ,02,0
Senam Kesegaran Jasmani - Gedung Dispora,DISPORA PROVINSI ,02,0
Senam Kesegaran Jasmani - Gedung Dinas Kehutanan,DISPORA PROVINSI ,02,0
Senam Kesegaran Jasmani - Gedung Dinas Perumahan,DISPORA PROVINSI ,02,0
Formi Jakarta Timur,DISPORA PROVINSI ,02,0
Formi Jakarta Selatan,DISPORA PROVINSI ,02,0
Formi Jakarta Utara,DISPORA PROVINSI ,02,0
Formi Jakarta Barat,DISPORA PROVINSI ,02,0
Formi Jakarta Pusat,DISPORA PROVINSI ,02,0
NPC - Rawamangun,DISPORA PROVINSI ,02,0
NPC - Ragunan,DISPORA PROVINSI ,02,0
NPC - Paraswim,DISPORA PROVINSI ,02,0
HBKB Jln Sudirman,DISPORA PROVINSI ,02,0
Jumlah Masyarakat berolahraga,DISPORA PROVINSI ,02,0
Suku Dinas Jakarta Pusat,Suku Dinas Jakarta Pusat,02,0
Suku Dinas Jakarta Utara,Suku Dinas Jakarta Utara,02,0
Suku Dinas Jakarta Barat,Suku Dinas Jakarta Barat,02,0
Suku Dinas Jakarta Selatan,Suku Dinas Jakarta Selatan,02,0
Suku Dinas Jakarta Timur,Suku Dinas Jakarta Timur,02,0
Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,03,6375
Gedung Olahraga Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,03,50
Kolam Renang Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,03,906
Gedung Auditorium Kebon Jahe Tanah Abang,Jakarta Pusat,03,1555
Gelanggang Remaja Kecamatan Tanah Abang,Jakarta Pusat,03,5483
Gelanggang Remaja Kecamatan Kemayoran,Jakarta Pusat,03,1561
Gelanggang Remaja Kecamatan Sawah Besar,Jakarta Pusat,03,1445
Gelanggang Remaja Kecamatan Johar Baru,Jakarta Pusat,03,3154
Gelanggang Remaja Kecamatan Cempaka Putih,Jakarta Pusat,03,1826
Stadion Sepak Bola Banteng,Jakarta Pusat,03,50
Gedung Olahraga Tenis Meja,Jakarta Pusat,03,765
Kolam Renang Kebon Jahe Tanah Abang,Jakarta Pusat,03,1360
Gedung Olahraga Kemakmuran,Jakarta Pusat,03,1487
